"ID";"BronTechniek";"Energietoepassingen";"Perioden";"BrutoEindverbruik_1";"BrutoEindverbruikRelatief_2";"VermedenVerbruik_3";"VermedenVerbruikRelatief_4";"VermedenEmissie_5";"VermedenEmissieRelatief_6"
"0";"T001028 ";"E007022 ";"1990JJ00";"   21772";"    1.20";"   16709";"    0.59";"    1051";"    0.64"
"1";"T001028 ";"E007022 ";"1991JJ00";"   22528";"    1.16";"   18291";"    0.62";"    1142";"    0.67"
"2";"T001028 ";"E007022 ";"1992JJ00";"   23188";"    1.21";"   19060";"    0.65";"    1181";"    0.69"
"3";"T001028 ";"E007022 ";"1993JJ00";"   23930";"    1.20";"   20182";"    0.67";"    1255";"    0.73"
"4";"T001028 ";"E007022 ";"1994JJ00";"   24303";"    1.24";"   20875";"    0.70";"    1322";"    0.75"
"5";"T001028 ";"E007022 ";"1995JJ00";"   25459";"    1.25";"   22579";"    0.73";"    1452";"    0.84"
"6";"T001028 ";"E007022 ";"1996JJ00";"   27993";"    1.27";"   26629";"    0.82";"    1721";"    0.94"
"7";"T001028 ";"E007022 ";"1997JJ00";"   30871";"    1.46";"   29603";"    0.94";"    1932";"    1.10"
"8";"T001028 ";"E007022 ";"1998JJ00";"   31932";"    1.51";"   31685";"    1.01";"    2071";"    1.17"
"9";"T001028 ";"E007022 ";"1999JJ00";"   33301";"    1.60";"   34480";"    1.11";"    2243";"    1.31"
"10";"T001028 ";"E007022 ";"2000JJ00";"   34689";"    1.62";"   37811";"    1.21";"    2521";"    1.46"
"11";"T001028 ";"E007022 ";"2001JJ00";"   36562";"    1.68";"   42342";"    1.32";"    2920";"    1.65"
"12";"T001028 ";"E007022 ";"2002JJ00";"   40076";"    1.85";"   49790";"    1.54";"    3508";"    1.99"
"13";"T001028 ";"E007022 ";"2003JJ00";"   40600";"    1.84";"   51012";"    1.53";"       .";"       ."
"14";"T001028 ";"E007022 ";"2004JJ00";"   47422";"    2.04";"   62982";"    1.86";"       .";"       ."
"15";"T001028 ";"E007022 ";"2005JJ00";"   57143";"    2.48";"   83761";"    2.50";"       .";"       ."
"16";"T001028 ";"E007022 ";"2006JJ00";"   63478";"    2.78";"   91560";"    2.78";"       .";"       ."
"17";"T001028 ";"E007022 ";"2007JJ00";"   74123";"    3.30";"   97307";"    2.95";"       .";"       ."
"18";"T001028 ";"E007022 ";"2008JJ00";"   82081";"    3.60";"  114329";"    3.50";"       .";"       ."
"19";"T001028 ";"E007022 ";"2009JJ00";"   93660";"    4.27";"  131753";"    4.07";"    8930";"    5.24"
"20";"T001028 ";"E007022 ";"2010JJ00";"   92411";"    3.92";"  133191";"    3.84";"    9310";"    5.10"
"21";"T001028 ";"E007022 ";"2011JJ00";"   99256";"    4.53";"  140106";"    4.33";"    9733";"    5.75"
"22";"T001028 ";"E007022 ";"2012JJ00";"  102676";"    4.66";"  148316";"    4.57";"   10543";"    6.35"
"23";"T001028 ";"E007022 ";"2013JJ00";"  103463";"    4.69";"  144697";"    4.55";"   10207";"    6.15"
"24";"T001028 ";"E007022 ";"2014JJ00";"  108835";"    5.42";"  150280";"    4.94";"   10357";"    6.52"
"25";"T001028 ";"E007022 ";"2015JJ00";"  117192";"    5.66";"  166920";"    5.36";"   11802";"    7.07"
"26";"T001028 ";"E007022 ";"2016JJ00";"  122177";"    5.83";"  180367";"    5.72";"   12513";"    7.49"
"27";"T001028 ";"E007022 ";"2017JJ00";"  136815";"    6.46";"  197281";"    6.22";"   13534";"    8.21"
"28";"T001028 ";"E007022 ";"2018JJ00";"  156100";"    7.38";"  220298";"    7.08";"   15179";"    9.42"
"29";"T001028 ";"E006607 ";"1990JJ00";"    2914";"    0.16";"    6946";"    0.24";"     497";"    0.30"
"30";"T001028 ";"E006607 ";"1991JJ00";"    3349";"    0.17";"    8075";"    0.27";"     562";"    0.33"
"31";"T001028 ";"E006607 ";"1992JJ00";"    3534";"    0.18";"    8441";"    0.29";"     577";"    0.34"
"32";"T001028 ";"E006607 ";"1993JJ00";"    4061";"    0.20";"    9414";"    0.31";"     643";"    0.37"
"33";"T001028 ";"E006607 ";"1994JJ00";"    4508";"    0.23";"   10450";"    0.35";"     730";"    0.42"
"34";"T001028 ";"E006607 ";"1995JJ00";"    5123";"    0.25";"   11808";"    0.38";"     840";"    0.48"
"35";"T001028 ";"E006607 ";"1996JJ00";"    6628";"    0.30";"   14988";"    0.46";"    1060";"    0.58"
"36";"T001028 ";"E006607 ";"1997JJ00";"    7362";"    0.35";"   15750";"    0.50";"    1145";"    0.65"
"37";"T001028 ";"E006607 ";"1998JJ00";"    8131";"    0.38";"   17441";"    0.55";"    1261";"    0.71"
"38";"T001028 ";"E006607 ";"1999JJ00";"    9108";"    0.44";"   19784";"    0.64";"    1408";"    0.82"
"39";"T001028 ";"E006607 ";"2000JJ00";"   10334";"    0.48";"   22919";"    0.73";"    1675";"    0.97"
"40";"T001028 ";"E006607 ";"2001JJ00";"   11907";"    0.55";"   27489";"    0.86";"    2074";"    1.17"
"41";"T001028 ";"E006607 ";"2002JJ00";"   14623";"    0.68";"   33741";"    1.05";"    2588";"    1.47"
"42";"T001028 ";"E006607 ";"2003JJ00";"   14573";"    0.66";"   34135";"    1.02";"    2571";"    1.43"
"43";"T001028 ";"E006607 ";"2004JJ00";"   18822";"    0.81";"   43743";"    1.29";"    3258";"    1.79"
"44";"T001028 ";"E006607 ";"2005JJ00";"   26814";"    1.17";"   62926";"    1.88";"    4620";"    2.60"
"45";"T001028 ";"E006607 ";"2006JJ00";"   28325";"    1.24";"   66523";"    2.02";"    4816";"    2.78"
"46";"T001028 ";"E006607 ";"2007JJ00";"   26359";"    1.17";"   59825";"    1.81";"    4485";"    2.59"
"47";"T001028 ";"E006607 ";"2008JJ00";"   33170";"    1.45";"   76498";"    2.34";"    5639";"    3.21"
"48";"T001028 ";"E006607 ";"2009JJ00";"   38719";"    1.76";"   87862";"    2.72";"    6575";"    3.86"
"49";"T001028 ";"E006607 ";"2010JJ00";"   42185";"    1.79";"   94376";"    2.72";"    7100";"    3.89"
"50";"T001028 ";"E006607 ";"2011JJ00";"   43147";"    1.97";"   95063";"    2.94";"    7137";"    4.21"
"51";"T001028 ";"E006607 ";"2012JJ00";"   44841";"    2.04";"  101516";"    3.13";"    7820";"    4.71"
"52";"T001028 ";"E006607 ";"2013JJ00";"   42771";"    1.94";"   94988";"    2.99";"    7312";"    4.40"
"53";"T001028 ";"E006607 ";"2014JJ00";"   42197";"    2.10";"   95167";"    3.13";"    7163";"    4.51"
"54";"T001028 ";"E006607 ";"2015JJ00";"   47347";"    2.29";"  108126";"    3.47";"    8501";"    5.09"
"55";"T001028 ";"E006607 ";"2016JJ00";"   54263";"    2.59";"  123788";"    3.92";"    9315";"    5.58"
"56";"T001028 ";"E006607 ";"2017JJ00";"   60011";"    2.83";"  133164";"    4.20";"    9829";"    5.96"
"57";"T001028 ";"E006607 ";"2018JJ00";"   66640";"    3.15";"  146328";"    4.70";"   10806";"    6.71"
"58";"T001028 ";"E006608 ";"1990JJ00";"   18858";"    1.04";"    9763";"    0.34";"     555";"    0.34"
"59";"T001028 ";"E006608 ";"1991JJ00";"   19179";"    0.98";"   10216";"    0.35";"     580";"    0.34"
"60";"T001028 ";"E006608 ";"1992JJ00";"   19654";"    1.02";"   10619";"    0.36";"     603";"    0.35"
"61";"T001028 ";"E006608 ";"1993JJ00";"   19868";"    1.00";"   10768";"    0.36";"     612";"    0.36"
"62";"T001028 ";"E006608 ";"1994JJ00";"   19795";"    1.01";"   10425";"    0.35";"     592";"    0.34"
"63";"T001028 ";"E006608 ";"1995JJ00";"   20335";"    1.00";"   10771";"    0.35";"     612";"    0.35"
"64";"T001028 ";"E006608 ";"1996JJ00";"   21365";"    0.97";"   11641";"    0.36";"     662";"    0.36"
"65";"T001028 ";"E006608 ";"1997JJ00";"   23508";"    1.11";"   13854";"    0.44";"     787";"    0.45"
"66";"T001028 ";"E006608 ";"1998JJ00";"   23801";"    1.12";"   14244";"    0.45";"     810";"    0.46"
"67";"T001028 ";"E006608 ";"1999JJ00";"   24193";"    1.16";"   14696";"    0.47";"     835";"    0.49"
"68";"T001028 ";"E006608 ";"2000JJ00";"   24355";"    1.14";"   14892";"    0.48";"     846";"    0.49"
"69";"T001028 ";"E006608 ";"2001JJ00";"   24655";"    1.13";"   14853";"    0.46";"     846";"    0.48"
"70";"T001028 ";"E006608 ";"2002JJ00";"   25453";"    1.18";"   16049";"    0.50";"     920";"    0.52"
"71";"T001028 ";"E006608 ";"2003JJ00";"   25893";"    1.17";"   16742";"    0.50";"       .";"       ."
"72";"T001028 ";"E006608 ";"2004JJ00";"   28466";"    1.22";"   19105";"    0.56";"       .";"       ."
"73";"T001028 ";"E006608 ";"2005JJ00";"   30228";"    1.31";"   20734";"    0.62";"       .";"       ."
"74";"T001028 ";"E006608 ";"2006JJ00";"   33387";"    1.46";"   23271";"    0.71";"       .";"       ."
"75";"T001028 ";"E006608 ";"2007JJ00";"   34734";"    1.55";"   24451";"    0.74";"       .";"       ."
"76";"T001028 ";"E006608 ";"2008JJ00";"   36863";"    1.62";"   25783";"    0.79";"       .";"       ."
"77";"T001028 ";"E006608 ";"2009JJ00";"   39335";"    1.79";"   28286";"    0.87";"    1625";"    0.95"
"78";"T001028 ";"E006608 ";"2010JJ00";"   40649";"    1.72";"   29237";"    0.84";"    1692";"    0.93"
"79";"T001028 ";"E006608 ";"2011JJ00";"   42324";"    1.93";"   31253";"    0.97";"    1784";"    1.05"
"80";"T001028 ";"E006608 ";"2012JJ00";"   44961";"    2.04";"   33923";"    1.04";"    1916";"    1.15"
"81";"T001028 ";"E006608 ";"2013JJ00";"   48264";"    2.19";"   37276";"    1.17";"    2080";"    1.25"
"82";"T001028 ";"E006608 ";"2014JJ00";"   52266";"    2.60";"   40733";"    1.34";"    2248";"    1.42"
"83";"T001028 ";"E006608 ";"2015JJ00";"   57274";"    2.77";"   46218";"    1.48";"    2508";"    1.50"
"84";"T001028 ";"E006608 ";"2016JJ00";"   58012";"    2.77";"   46672";"    1.48";"    2545";"    1.52"
"85";"T001028 ";"E006608 ";"2017JJ00";"   64113";"    3.03";"   51414";"    1.62";"    2832";"    1.72"
"86";"T001028 ";"E006608 ";"2018JJ00";"   68218";"    3.23";"   52713";"    1.69";"    2891";"    1.79"
